Product and version,End of Maintenance,End of free email support (for perpetual licenses)
WinZip 28,Aug-24,Aug-26
WinZip 27,Aug-23,Aug-25
WinZip 26,Aug-22,Aug-24
WinZip for Mac 11,Nov-24,-
WinZip for Mac 10,Nov-23,-
WinZip for Mac 9,Jul-22,-
WinZip Enterprise 28,Aug-24,Aug-26
WinZip Enterprise 27,Aug-23,Aug-25
WinZip Enterprise 26,Aug-22,Aug-24
WinZip Command Line 6.0,-,-
WinZip Command Line 5.0,Aug-21,-
WinZip Command Line 4.0,Apr-18,-
WinZip Courier 12.0,-,-
WinZip Courier 11.0,May-22,-
WinZip Courier 10.0,Apr-21,-
WinZip Self-Extractor 4.0 ,-,-
WinZip SafeMedia 7.0,-,-
WinZip PDF Pro,-,-
